net,length_um
io_in[0],3451
io_oeb[0],3388.52
io_out[1],3339.56
io_oeb[1],3288.04
io_out[37],3271.8
wb_rst_i,3248.84
io_in[1],3244.92
io_out[0],3207.96
io_oeb[37],3120.6
wb_clk_i,3079.72
io_in[3],3074.36
io_oeb[3],3007.16
io_out[14],2998.52
io_oeb[36],2959.32
io_oeb[2],2944.44
io_oeb[14],2943.08
io_in[37],2924.6
io_in[2],2862.44
io_out[2],2859.64
io_in[36],2857.4
io_in[15],2852.36
io_oeb[34],2785.72
io_oeb[4],2768.92
io_out[4],2698.92
io_oeb[15],2669.24
io_in[16],2660.28
io_out[3],2658.04
io_out[13],2656.92
io_out[36],2642.36
io_oeb[12],2627.24
io_in[24],2610.44
io_oeb[35],2541.56
io_oeb[24],2524.2
io_oeb[13],2508.66
io_out[6],2507.64
io_oeb[23],2505.16
io_in[4],2482.2
io_out[5],2476.18
io_out[35],2447.48
io_in[6],2421.4
io_out[15],2411.64
io_in[14],2406.74
io_in[12],2397.08
io_in[35],2376.92
io_out[16],2365.72
io_oeb[22],2342.76
io_in[5],2335.48
io_out[24],2258.34
io_out[7],2255.54
io_out[12],2249.24
io_oeb[33],2229.08
io_out[11],2197.72
io_in[25],2178.68
io_out[34],2177.56
io_in[13],2158.1
io_in[32],2132.76
io_oeb[5],2131.08
io_out[23],2127.3
io_oeb[6],2126.04
io_in[34],2124.92
io_out[25],2118.2
io_out[9],2087.4
io_oeb[7],2082.36
io_in[33],2020.76
io_out[33],2014.04
io_in[8],2001.3
io_in[11],2000.18
io_out[26],1997.24
io_out[10],1992.2
io_out[32],1990.52
io_oeb[26],1988.84
io_in[18],1973.16
io_in[17],1971.62
io_oeb[11],1928.92
io_oeb[16],1927.24
io_in[23],1918.28
io_oeb[17],1913.8
io_in[7],1905.96
io_oeb[32],1888.6
io_out[21],1869.56
io_out[30],1865.32
io_oeb[25],1848.42
io_out[31],1846.6
io_in[9],1812.02
io_oeb[31],1805.72
io_out[18],1785.56
io_in[10],1771
io_out[27],1747.48
io_out[17],1736.28
io_oeb[28],1735.16
io_in[19],1722.28
io_in[26],1717.24
io_out[22],1689.94
io_oeb[27],1685.88
io_oeb[10],1665.16
io_in[29],1655.64
io_in[22],1647.8
io_in[30],1642.34
io_in[27],1630.02
io_in[28],1618.68
io_oeb[29],1615.32
io_out[8],1614.76
io_oeb[21],1610.42
io_oeb[30],1597.4
io_in[31],1596.28
io_oeb[9],1593.48
io_oeb[8],1591.8
io_out[19],1545.88
io_out[29],1544.9
io_in[20],1493.8
io_in[21],1484.98
io_out[28],1453.06
io_oeb[18],1337.56
io_out[20],1300.04
io_oeb[20],1202.18
io_oeb[19],1068.9
